Date,Open,High,Low,Close,Volume,Change,news_prob_scaled,jongto_prob_scaled
2023-02-01,87700,88000,86100,86700,410616,-0.01477272727272727,0.3493256705279605,0.6230163694641705
2023-02-02,86900,89900,86100,89100,683339,0.02768166089965396,0.3825840133813152,0.6473117011507175
2023-02-03,89900,95900,88100,91000,2363145,0.021324354657688005,0.4910892683270912,0.6255127604010678
2023-02-06,90500,93900,89600,92200,646786,0.01318681318681314,0.3837239791482272,0.6418857413457572
2023-02-07,93000,99700,85700,90100,3863446,-0.022776572668112838,0.404888260217444,0.6233117546574674
2023-02-08,95000,99800,92100,98700,3644350,0.09544950055493895,0.3613903001048827,0.62889325334447
2023-02-09,100000,103300,95700,98500,3078346,-0.0020263424518743856,0.3894278288111601,0.6204602660116024
2023-02-10,115200,117000,107300,114700,8882805,0.1644670050761421,0.4058219743885514,0.6195415005439451
2023-02-13,115000,118300,114500,116000,3271133,0.011333914559721103,0.4029110779067979,0.6168672120312162
2023-02-14,116700,119100,116100,116800,2116337,0.006896551724137945,0.3635272168654496,0.6231046999577206
2023-02-15,118700,127900,117600,122600,4502599,0.04965753424657526,0.3471644790044819,0.6012586602612924
2023-02-16,124900,133600,120700,131900,4440720,0.07585644371941269,0.3737677029477733,0.6153860114564697
2023-02-17,132300,132900,126000,130100,2031182,-0.013646702047005355,0.3718126303886962,0.6120831942158071
2023-02-20,125000,125500,121700,121800,1686067,-0.06379707916986932,0.3831510991022369,0.6091269210549856
2023-02-21,124400,125500,122000,123500,1069774,0.013957307060755264,0.3988722672988219,0.6250984947973943
2023-02-22,123400,125800,120100,121100,1166770,-0.019433198380566785,0.374501366644911,0.6146292554571848
2023-02-23,122500,127300,120600,126300,1832085,0.04293971924029738,0.3850924751346042,0.6271325131638676
2023-02-24,126000,126000,120700,121000,1659938,-0.04196357878068091,0.416866346535235,0.6235259358643531
2023-02-27,122000,127100,119300,120300,2114459,-0.005785123966942196,0.3917356245502629,0.6015058196538463
2023-02-28,121200,128000,118700,127600,3477054,0.060681629260182834,0.3806373367679059,0.6519416685374605
2023-03-02,126000,131100,123700,128000,1256953,0.0031347962382444194,0.3514067538219796,0.6225286131252065
2023-03-03,127400,131000,124500,129200,1073133,0.009374999999999911,0.4033549896324154,0.6221786910940281
2023-03-06,125300,134900,124700,130100,2431975,0.006965944272445901,0.3692845276764698,0.6286815447376931
2023-03-07,147200,149700,146500,149700,3609572,0.15065334358186,0.3659627270529857,0.6244589672979725
2023-03-08,154100,161200,150600,158500,2568990,0.05878423513694053,0.3393198044666616,0.6409516708841391
2023-03-09,157000,157000,152600,154900,1073416,-0.022712933753943232,0.365138909698948,0.6233769142203902
2023-03-10,152000,154000,146000,147800,3601004,-0.045836023240800494,0.3852004308100027,0.6146670991441257
2023-03-13,135000,135000,111300,113100,5457572,-0.23477672530446547,0.3865139304239106,0.6258207445689803
