Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2023-02-01,744.9,752.5,744.03,750.96,1065396559,0.0141,1,10.47,8786552313425,350460923570265
2023-02-02,759.53,764.84,758.72,764.62,1220834721,0.0182,1,13.66,8757933896696,356981668435985
2023-02-03,765.37,768.03,761.82,766.79,1136574420,0.0028000000000000004,1,2.17,9265712633432,358449971540544
2023-02-06,763.66,766.23,760.65,761.33,1185407618,-0.0070999999999999995,2,-5.46,8029937901748,355964477004747
2023-02-07,762.47,773.79,762.3,772.79,1261551684,0.0151,1,11.46,9579662960807,361544964041108
2023-02-08,777.43,779.98,776.3,779.98,1461520222,0.009300000000000001,1,7.19,9573057233799,364938932575631
2023-02-09,776.6,784.64,776.26,784.58,1411565323,0.0059,1,4.6,9920451537909,367173795818580
2023-02-10,783.07,784.52,771.62,772.44,1309834875,-0.0155,2,-12.14,10589209653850,361579872170428
2023-02-13,771.5,774.08,767.64,772.55,1198564825,0.0001,1,0.11,9602981944224,361652493885227
2023-02-14,778.05,780.13,774.61,779.58,1273741863,0.0091,1,7.03,9632666955757,364997188932796
2023-02-15,782.55,784.38,763.81,765.46,1416003278,-0.0181,2,-14.12,10724452319144,358813760540798
2023-02-16,772.17,784.71,772.16,784.71,1242737840,0.025099999999999997,1,19.25,9390497539425,368439501627773
2023-02-17,775.03,780.78,772.96,775.62,862495804,-0.0116,2,-9.09,8911920587474,364469232408772
2023-02-20,777.68,789.26,773.86,788.89,889521303,0.0171,1,13.27,8887053338794,370746475379803
2023-02-21,789.45,793.42,786.48,793.42,1020994847,0.005699999999999999,1,4.53,9639630272262,372841940875971
2023-02-22,782.83,787.85,774.54,778.51,1125363718,-0.018799999999999997,2,-14.91,10019625958257,365904573571717
2023-02-23,782.18,784.59,774.1,783.28,927833109,0.0060999999999999995,1,4.77,9911740145966,368151719875675
2023-02-24,784.94,786.09,774.21,778.88,1192537980,-0.005600000000000001,2,-4.4,10444720873784,366037810529367
2023-02-27,775.01,781.54,769.75,780.3,1146531764,0.0018,1,1.42,10516965244726,366628524556680
2023-02-28,784.23,793.65,783.66,791.6,1005903187,0.014499999999999999,1,11.3,10411152630191,371912984933647
2023-03-02,793.63,797.01,786.52,787.19,1020089923,-0.005600000000000001,2,-4.41,10853202033853,370075760790550
2023-03-03,792.9,802.45,792.61,802.42,1102273010,0.019299999999999998,1,15.23,11038716785758,378059877027936
2023-03-06,810.61,816.62,804.47,816.51,1110188043,0.0176,1,14.09,12501426767453,384639511424349
2023-03-07,814.27,818.56,810.47,815.76,1387403737,-0.0009,2,-0.75,13160788244787,384474106386699
2023-03-08,809.14,817.17,807.95,813.95,1261649247,-0.0022,2,-1.81,12564614444845,383607754458222
2023-03-09,817.03,817.12,801.1,809.22,1367967960,-0.0058,2,-4.73,11685234349063,381522431004330
2023-03-10,796.57,798.96,785.66,788.6,1204572401,-0.0255,2,-20.62,10596319347695,371906517641291
2023-03-13,784.02,789.18,771.03,788.89,1178495051,0.0004,1,0.29,10709010999333,372176398769848
2023-03-14,788.44,789.22,758.05,758.05,1140138741,-0.0391,2,-30.84,10903713293362,357461172609841
2023-03-15,774.53,784.59,773.65,781.17,1030708174,0.0305,1,23.12,10695497522005,368139424343113
2023-03-16,780.53,785.54,767.11,781.98,1109314318,0.001,1,0.81,12290180356964,367720334540747
2023-03-17,791.18,798.62,785.98,797.39,1146052772,0.0197,1,15.41,14408936955743,374945162115715
2023-03-20,793.04,803.42,791.45,802.2,1097773310,0.006,1,4.81,11521937840437,377052534644858
2023-03-21,806.51,809.33,802.42,802.53,1062910296,0.0004,1,0.33,11841971249509,377289756737026
2023-03-22,811.17,813.43,807.91,813.43,1117238787,0.013600000000000001,1,10.9,12635103045628,382341032320615
2023-03-23,807.53,824.2,806.4,812.19,1177436814,-0.0015,2,-1.24,17941127148489,381704111823252
2023-03-24,820.16,824.11,814.07,824.11,1292725293,0.0147,1,11.92,13796536815740,386895184121892
2023-03-27,827.95,829.18,817.81,827.69,1176552750,0.0043,1,3.58,13400561434542,388588093717020
2023-03-28,831.07,833.68,825.4,833.51,1222376505,0.006999999999999999,1,5.82,13869710258035,391491400113686
2023-03-29,833.9,843.94,832.44,843.94,1309614395,0.0125,1,10.43,14690132558379,396799314710996
2023-03-30,850.78,852.59,846.1,850.48,1502135159,0.0077,1,6.54,15325502771118,400365537565452
2023-03-31,849.98,851.13,842.61,847.52,1282318439,-0.0034999999999999996,2,-2.96,13809848648802,399097446427679
2023-04-03,850.86,855.2,847.7,854.96,1145928489,0.0088,1,7.44,13203018060184,402741110536531
2023-04-04,853.92,861.13,852.02,857.18,1310437645,0.0026,1,2.22,13297190656343,403961765614704
2023-04-05,857.54,872.44,856.15,872.36,1500672632,0.0177,1,15.18,13396403443642,411050883520240
2023-04-06,869.65,869.94,859.13,865.58,1418014429,-0.0078000000000000005,2,-6.78,12406329224599,408022459534572
2023-04-07,871.83,880.07,866.58,880.07,1669012618,0.0167,1,14.49,14090088087819,414870489420584
2023-04-10,882.75,890.96,877.31,887.78,1590085779,0.0088,1,7.71,17822665408444,418754179964574
2023-04-11,893.2,899.37,879.73,898.94,1555495545,0.0126,1,11.16,16842487400613,425634975713436
2023-04-12,897.11,900.83,888.63,890.62,1987419195,-0.009300000000000001,2,-8.32,17250515448378,421877162148019
2023-04-13,885.5,895.29,875.42,894.25,1698995237,0.0040999999999999995,1,3.63,16889537267849,423574251022428
2023-04-14,902.56,906.69,900.7,903.84,1463219786,0.010700000000000001,1,9.59,13980550011471,428656711360164
2023-04-17,905.35,909.5,898.84,909.5,1543775299,0.0063,1,5.66,13443511061462,431395913487050
2023-04-18,910.75,910.75,902.9,909.02,1973947340,-0.0005,2,-0.48,16619154094369,431287161226592
2023-04-19,908.87,913.97,907.59,909.2,1878192262,0.0002,1,0.18,14839360491784,430184410576079
2023-04-20,905.81,906.0,884.33,885.71,2324112321,-0.0258,2,-23.49,13974830133200,419231110265497
2023-04-21,884.27,888.21,868.36,868.82,2021045955,-0.0191,2,-16.89,13125995750077,411902039051204
2023-04-24,867.38,870.08,852.48,855.23,1308672542,-0.015600000000000001,2,-13.59,10547590468540,405538682580775
2023-04-25,857.54,858.91,828.25,838.71,1540091899,-0.019299999999999998,2,-16.52,11771864758043,397824367613523
